case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p011_loss_large,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,114921,0,125,339,464,49885,12.302,8.4576,0.8100756406784058,0.6701944470405579,-0.1398811936378479,0.48841607570648193,0.5348610877990723,0.04644501209259033,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p011_mixed_damage,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,44361,10.9397,7.5211,0.8860111832618713,0.8411604166030884,-0.04485076665878296,0.5117112398147583,0.4100905656814575,-0.10162067413330078,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p012_loss_large,p012,landscape_natural,An Extensive Wooded Landscape,p012_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,154449,0,81,393,474,45575,10.4293,7.7269,0.8282601237297058,0.7837100028991699,-0.04455012083053589,0.8628895282745361,0.39921823143959045,-0.4636712968349457,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p028_scratch_thin,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,9493,2.3278,1.6095,0.886816680431366,0.8498215079307556,-0.03699517250061035,0.7584649920463562,0.865454912185669,0.10698992013931274,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p038_loss_small,p038,abstraction_surrealism,Mahana no atua (Day of the God),p038_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,438244,93,19,755,681,19642,4.4634,3.3301,0.9665353298187256,0.952599048614502,-0.013936281204223633,0.9658729434013367,0.9250717759132385,-0.040801167488098145,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,14929,2.6092,2.5311,0.9623438119888306,0.9515565633773804,-0.010787248611450195,0.7796550989151001,0.7558138370513916,-0.023841261863708496,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p035_scratch_thin,p035,abstraction_surrealism,The Bewitched Mill,p035_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,6576,1.6156,1.1149,0.9843804836273193,0.9768677353858948,-0.0075127482414245605,0.9660708904266357,0.936898946762085,-0.02917194366455078,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p042_loss_large,p042,high_texture_brushwork,View of Beirut,p042_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,103684,378,134,700,456,44565,11.7464,7.5556,0.8143808245658875,0.8096807599067688,-0.004700064659118652,0.9508149027824402,0.6430395841598511,-0.3077753186225891,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p046_scratch_thin,p046,high_texture_brushwork,Boating,p046_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,13388,2.9748,2.2698,0.9196056723594666,0.9207723736763,0.001166701316833496,0.9171726107597351,0.8955016732215881,-0.021670937538146973,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,5937,1.5939,1.0066,0.9618636965751648,0.9642161726951599,0.002352476119995117,0.9370157122612,0.9307819604873657,-0.0062337517738342285,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
