case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,clip_model_name,dinov2_model_name,feature_resize,device,status,issue
p012_loss_large,p012,landscape_natural,An Extensive Wooded Landscape,p012_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,154449,0,81,393,474,45575,10.4293,7.7269,0.8282601237297058,0.7837100028991699,-0.04455012083053589,0.8628895282745361,0.39921823143959045,-0.4636712968349457,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p042_loss_large,p042,high_texture_brushwork,View of Beirut,p042_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,103684,378,134,700,456,44565,11.7464,7.5556,0.8143808245658875,0.8096807599067688,-0.004700064659118652,0.9508149027824402,0.6430395841598511,-0.3077753186225891,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p028_loss_large,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,154449,213,230,606,623,60196,14.7609,10.2058,0.8268417119979858,0.8435401320457458,0.01669842004776001,0.881481409072876,0.6112333536148071,-0.27024805545806885,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p029_loss_large,p029,architecture_structured,"The Trading Post of the Dutch East India Company in Hooghly, Bengal",p029_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,112896,323,240,659,576,39135,10.2118,6.635,0.8195840120315552,0.8927005529403687,0.07311654090881348,0.9326847195625305,0.7685543298721313,-0.16413038969039917,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,132496,389,276,753,640,51159,12.5923,8.6736,0.7383416295051575,0.8171917200088501,0.07885009050369263,0.6712355613708496,0.5260934829711914,-0.1451420783996582,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p011_loss_small,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,515524,8,32,726,750,24080,5.9383,4.0826,0.8731545209884644,0.9026776552200317,0.029523134231567383,0.7218886613845825,0.5875344276428223,-0.13435423374176025,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p014_scratch_thin,p014,landscape_natural,Landscape on a River,p014_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,301401,219,109,768,658,8107,2.4267,1.3745,0.8565492630004883,0.8683643937110901,0.011815130710601807,0.6256421804428101,0.4965044856071472,-0.12913769483566284,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p012_mixed_damage,p012,landscape_natural,An Extensive Wooded Landscape,p012_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,42618,9.7526,7.2255,0.836414098739624,0.8891705870628357,0.05275648832321167,0.7056461572647095,0.5823180675506592,-0.12332808971405029,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p044_loss_large,p044,high_texture_brushwork,Versailles,p044_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,133225,403,94,768,459,49735,10.1028,8.4322,0.8446193933486938,0.8945987820625305,0.04997938871383667,0.7965560555458069,0.6769357919692993,-0.11962026357650757,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p033_loss_large,p033,abstraction_surrealism,Movement,p033_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,260100,95,0,605,510,87686,14.9639,14.8665,0.8820112943649292,0.9165155291557312,0.034504234790802,0.8447743654251099,0.7334359884262085,-0.11133837699890137,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p011_mixed_damage,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,44361,10.9397,7.5211,0.8860111832618713,0.8411604166030884,-0.04485076665878296,0.5117112398147583,0.4100905656814575,-0.10162067413330078,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p022_loss_large,p022,architecture_structured,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",p022_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,184900,231,8,661,438,72675,15.8242,12.3215,0.7214130163192749,0.8140431046485901,0.09263008832931519,0.8092225193977356,0.7153465151786804,-0.09387600421905518,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p006_scratch_thin,p006,portrait_figure,Boy with a Sword,p006_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,494209,33,65,736,768,13053,2.9507,2.213,0.8714858293533325,0.8913282752037048,0.019842445850372314,0.8107290267944336,0.7187137603759766,-0.09201526641845703,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,13905,2.3575,2.3575,0.9261481761932373,0.9442585706710815,0.01811039447784424,0.9730130434036255,0.8873239755630493,-0.08568906784057617,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p025_loss_large,p025,architecture_structured,The Quay de Paris in Rouen,p025_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,119716,175,134,521,480,52108,10.6014,8.8345,0.7358732223510742,0.939290463924408,0.20341724157333374,0.8501129746437073,0.7667966485023499,-0.08331632614135742,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p013_scratch_thin,p013,landscape_natural,Landscape with a Village in the Distance,p013_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,476100,0,39,690,729,7041,1.7168,1.1937,0.8904661536216736,0.9637178778648376,0.07325172424316406,0.7100269794464111,0.6420505046844482,-0.06797647476196289,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p011_scratch_thin,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,10323,2.5457,1.7502,0.9002213478088379,0.9344871640205383,0.03426581621170044,0.6992626190185547,0.6344138383865356,-0.06484878063201904,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p028_loss_small,p028,architecture_structured,Trading posts of the Dutch East India Company (VOC),p028_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,458329,58,34,735,711,19573,4.7996,3.3184,0.8619997501373291,0.9328007698059082,0.0708010196685791,0.9603778719902039,0.8968808054924011,-0.06349706649780273,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p026_loss_small,p026,architecture_structured,View of a Village along a River,p026_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,251001,228,129,729,630,13631,3.3551,2.311,0.8205560445785522,0.9403855800628662,0.11982953548431396,0.9594663977622986,0.8985605239868164,-0.06090587377548218,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
p039_loss_large,p039,abstraction_surrealism,Painting with Troika,p039_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,121104,244,137,592,485,45190,10.4328,7.6616,0.7985312938690186,0.9082204103469849,0.10968911647796631,0.731112539768219,0.6772441864013672,-0.05386835336685181,openai/clip-vit-base-patch32,dinov2_vits14,224,cuda,ok,
