case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_lpips,restored_lpips,lpips_improvement,lpips_net,crop_resize,device,status,issue
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,13905,2.3575,2.3575,0.10542716085910797,0.2450990229845047,-0.13967186212539673,alex,256,cuda,ok,
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,14929,2.6092,2.5311,0.17260819673538208,0.24184530973434448,-0.0692371129989624,alex,256,cuda,ok,
p017_scratch_thin,p017,landscape_natural,Picturesque Landscape,p017_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,5790,1.332,0.9816,0.09323197603225708,0.11457721889019012,-0.021345242857933044,alex,256,cuda,ok,
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,5937,1.5939,1.0066,0.10143551230430603,0.10763268172740936,-0.0061971694231033325,alex,256,cuda,ok,
p020_scratch_thin,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,11485,2.8269,1.9472,0.18873794376850128,0.19335544109344482,-0.0046174973249435425,alex,256,cuda,ok,
p017_loss_small,p017,landscape_natural,Picturesque Landscape,p017_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,259081,192,224,701,733,20288,4.6673,3.4397,0.1696019023656845,0.15386557579040527,0.015736326575279236,alex,256,cuda,ok,
p012_loss_large,p012,landscape_natural,An Extensive Wooded Landscape,p012_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,119025,0,105,345,450,45575,10.4293,7.7269,0.5245109796524048,0.507156491279602,0.017354488372802734,alex,256,cuda,ok,
p038_loss_small,p038,abstraction_surrealism,Mahana no atua (Day of the God),p038_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,376996,117,43,731,657,19642,4.4634,3.3301,0.12552686035633087,0.10052307695150375,0.025003783404827118,alex,256,cuda,ok,
p035_scratch_thin,p035,abstraction_surrealism,The Bewitched Mill,p035_scratch_thin,scratch_thin,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,6576,1.6156,1.1149,0.07272163778543472,0.04624976962804794,0.02647186815738678,alex,256,cuda,ok,
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,47780,8.1007,8.1007,0.16622602939605713,0.13898110389709473,0.027244925498962402,alex,256,cuda,ok,
p035_loss_small,p035,abstraction_surrealism,The Bewitched Mill,p035_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,429025,113,93,768,748,13591,3.339,2.3042,0.07334425300359726,0.04317419230937958,0.030170060694217682,alex,256,cuda,ok,
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_mixed_damage,mixed_damage,stable_diffusion_inpainting,mask_bbox_crop,589824,0,0,768,768,51647,9.0267,8.7563,0.21358250081539154,0.17717412114143372,0.036408379673957825,alex,256,cuda,ok,
p031_loss_small,p031,abstraction_surrealism,Improvisation No. 30 (Cannons),p031_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,471969,59,81,746,768,22150,3.7701,3.7554,0.09570290148258209,0.058486491441726685,0.03721641004085541,alex,256,cuda,ok,
p012_loss_small,p012,landscape_natural,An Extensive Wooded Landscape,p012_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,418609,101,40,748,687,20574,4.7081,3.4882,0.18179287016391754,0.1418762505054474,0.039916619658470154,alex,256,cuda,ok,
p034_loss_small,p034,abstraction_surrealism,Painting with Green Center,p034_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,429025,113,86,768,741,18146,3.3046,3.0765,0.10103099048137665,0.0552946999669075,0.04573629051446915,alex,256,cuda,ok,
p011_loss_large,p011,landscape_natural,View of Haarlem and the Haarlemmer Meer,p011_loss_large,loss_large,stable_diffusion_inpainting,mask_bbox_crop,96721,4,139,315,450,49885,12.302,8.4576,0.750410795211792,0.7002363204956055,0.05017447471618652,alex,256,cuda,ok,
p033_loss_small,p033,abstraction_surrealism,Movement,p033_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,304704,0,64,552,616,20720,3.5359,3.5129,0.11668295413255692,0.06434543430805206,0.05233751982450485,alex,256,cuda,ok,
p016_loss_small,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,436921,78,53,739,714,20307,5.4518,3.4429,0.15070976316928864,0.09653694182634354,0.0541728213429451,alex,256,cuda,ok,
p015_loss_small,p015,landscape_natural,Landscape,p015_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,546121,29,19,768,758,15734,3.7114,2.6676,0.12682735919952393,0.07100753486156464,0.05581982433795929,alex,256,cuda,ok,
p040_loss_small,p040,abstraction_surrealism,Houses at Murnau,p040_loss_small,loss_small,stable_diffusion_inpainting,mask_bbox_crop,555025,2,23,747,768,23305,5.1259,3.9512,0.11653915047645569,0.05905209481716156,0.05748705565929413,alex,256,cuda,ok,
