case_id,painting_id,category,title,mask_id,mask_type,model_name,evaluation_region,region_pixel_count,region_x_min,region_y_min,region_x_max,region_y_max,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_ssim,restored_ssim,ssim_improvement,status,issue
p036_scratch_thin,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,13905,,,,,13905,2.3575,2.3575,2009.9451904296875,9849.736328125,-7839.7911376953125,29.343353271484375,90.69157409667969,-61.34822082519531,15.098961461431877,8.196557560325354,-6.902403901106522,,,,ok,
p036_loss_large,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_large,loss_large,stable_diffusion_inpainting,masked_region,92174,,,,,92174,15.6274,15.6274,5263.03271484375,6783.63916015625,-1520.6064453125,46.358219146728516,39.678016662597656,6.680202484130859,10.918442912815733,9.816176222856518,-1.1022666899592153,,,,ok,
p032_scratch_thin,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,14929,,,,,14929,2.6092,2.5311,5889.0458984375,6026.02734375,-136.9814453125,56.945430755615234,66.25721740722656,-9.311786651611328,10.43035421701841,10.330492628679771,-0.0998615883386389,,,,ok,
p032_mixed_damage,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,51647,,,,,51647,9.0267,8.7563,2763.684326171875,878.4815063476562,1885.2028198242188,40.7200813293457,15.60427474975586,25.115806579589844,13.71591925360757,18.693477376384216,4.977558122776646,,,,ok,
p036_mixed_damage,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,47780,,,,,47780,8.1007,8.1007,4701.5478515625,1958.1153564453125,2743.4324951171875,42.42812728881836,21.388349533081055,21.039777755737305,11.408395002247481,15.21242087500936,3.80402587276188,,,,ok,
p036_loss_small,p036,abstraction_surrealism,"Lozenge Composition with Yellow, Black, Blue, Red, and Gray",p036_loss_small,loss_small,stable_diffusion_inpainting,masked_region,18062,,,,,18062,3.0623,3.0623,3290.943359375,61.60858917236328,3229.3347702026367,37.02277374267578,7.111191272735596,29.911582469940186,12.957599531777825,30.23439097240432,17.276791440626496,,,,ok,
p020_loss_large,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_large,loss_large,stable_diffusion_inpainting,masked_region,51159,,,,,51159,12.5923,8.6736,6440.3271484375,3168.48193359375,3271.84521484375,72.3664779663086,44.66487503051758,27.701602935791016,10.041724321490095,13.122291257086596,3.080566935596501,,,,ok,
p020_loss_small,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_loss_small,loss_small,stable_diffusion_inpainting,masked_region,13227,,,,,13227,3.2557,2.2425,4237.94580078125,437.39410400390625,3800.5516967773438,62.286888122558594,13.618003845214844,48.66888427734375,11.859249626630596,21.722074363405646,9.86282473677505,,,,ok,
p020_mixed_damage,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,54098,,,,,54098,13.3157,9.1719,4976.78173828125,935.5457153320312,4041.2360229492188,62.75547409057617,19.879304885864258,42.876169204711914,11.161317661232012,18.420153467642685,7.258835806410673,,,,ok,
p042_loss_large,p042,high_texture_brushwork,View of Beirut,p042_loss_large,loss_large,stable_diffusion_inpainting,masked_region,44565,,,,,44565,11.7464,7.5556,5220.11279296875,120.23624420166016,5099.87654876709,70.19696044921875,6.136676788330078,64.06028366088867,10.95400473797698,27.330449590572673,16.376444852595693,,,,ok,
p020_scratch_thin,p020,landscape_natural,Mediterranean landscape (recto); Mountains (verso),p020_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,11485,,,,,11485,2.8269,1.9472,9064.6982421875,3556.087158203125,5508.611083984375,83.51251983642578,48.52529525756836,34.98722457885742,8.557270095719733,12.621079640638868,4.063809544919135,,,,ok,
p032_loss_large,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_large,loss_large,stable_diffusion_inpainting,masked_region,88089,,,,,88089,15.3959,14.9348,7354.853515625,139.065185546875,7215.788330078125,61.183589935302734,8.177400588989258,53.00618934631348,9.465063334290068,26.698619412806682,17.233556078516614,,,,ok,
p016_scratch_thin,p016,landscape_natural,Wooded Landscape with a House beside a River,p016_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,5937,,,,,5937,1.5939,1.0066,10559.5654296875,3172.695068359375,7386.870361328125,89.07135772705078,45.06097412109375,44.01038360595703,7.894343153379397,13.116520273406744,5.222177120027347,,,,ok,
p032_loss_small,p032,abstraction_surrealism,Composition (No. 1) Gray-Red,p032_loss_small,loss_small,stable_diffusion_inpainting,masked_region,24362,,,,,24362,4.2579,4.1304,8350.02734375,98.93270874023438,8251.094635009766,67.46461486816406,6.8647074699401855,60.59990739822388,8.913924632022368,28.177404608086754,19.263479976064385,,,,ok,
p017_mixed_damage,p017,landscape_natural,Picturesque Landscape,p017_mixed_damage,mixed_damage,stable_diffusion_inpainting,masked_region,39263,,,,,39263,9.0325,6.6567,10988.57421875,2569.852783203125,8418.721435546875,97.24097442626953,38.91901779174805,58.321956634521484,7.7213901504124465,14.031721158532683,6.310331008120237,,,,ok,
p017_loss_large,p017,landscape_natural,Picturesque Landscape,p017_loss_large,loss_large,stable_diffusion_inpainting,masked_region,45832,,,,,45832,10.5437,7.7705,10403.873046875,1733.736083984375,8670.136962890625,93.99626922607422,32.86705780029297,61.12921142578125,7.958853167844865,15.740973726830656,7.782120558985792,,,,ok,
p017_loss_small,p017,landscape_natural,Picturesque Landscape,p017_loss_small,loss_small,stable_diffusion_inpainting,masked_region,20288,,,,,20288,4.6673,3.4397,10552.59375,1624.4716796875,8928.1220703125,94.5385971069336,30.03736114501953,64.50123596191406,7.897211417209889,16.02368216416613,8.12647074695624,,,,ok,
p017_scratch_thin,p017,landscape_natural,Picturesque Landscape,p017_scratch_thin,scratch_thin,stable_diffusion_inpainting,masked_region,5790,,,,,5790,1.332,0.9816,12100.0712890625,2567.575439453125,9532.495849609375,100.52464294433594,39.63068389892578,60.893959045410156,7.3029243184441395,14.035571481480037,6.732647163035898,,,,ok,
p039_loss_large,p039,abstraction_surrealism,Painting with Troika,p039_loss_large,loss_large,stable_diffusion_inpainting,masked_region,45190,,,,,45190,10.4328,7.6616,13828.470703125,4241.84619140625,9586.62451171875,108.39063262939453,49.87473678588867,58.51589584350586,6.723062069276392,11.855254438430878,5.1321923691544855,,,,ok,
p035_loss_large,p035,abstraction_surrealism,The Bewitched Mill,p035_loss_large,loss_large,stable_diffusion_inpainting,masked_region,44445,,,,,44445,10.9191,7.5353,12596.2021484375,2967.43505859375,9628.76708984375,95.24449157714844,38.68075942993164,56.5637321472168,7.128407391315345,13.406991375388364,6.278583984073019,,,,ok,
