rank,ranking_group,dataset_name,painting_id,case_id,category,title,mask_type,damaged_mse,restored_mse,mse_improvement,damaged_psnr,restored_psnr,psnr_improvement,restoration_outcome,interpretation
1,best,mask_robustness,p001,p001__scratch_thin__variant_01,portrait_figure,Juan de Pareja,,54909.4765625,44.40283966064453,54865.07372283936,0.7343305715309524,31.656696157642585,30.922365586111628,improved,"Telea improved the masked region, with an MSE change of 54865.073723 and PSNR change of 30.922 dB."
2,best,canonical,p001,p001_loss_small,portrait_figure,Juan de Pareja,,54324.203125,68.4379653930664,54255.76515960693,0.7808699644053069,29.77783271040616,28.99696274600085,improved,"Telea improved the masked region, with an MSE change of 54255.765160 and PSNR change of 28.997 dB."
3,best,canonical,p006,p006_scratch_thin,portrait_figure,Boy with a Sword,,53555.17578125,61.86423873901367,53493.311542510986,0.8427891175766073,30.216406877177647,29.37361775960104,improved,"Telea improved the masked region, with an MSE change of 53493.311543 and PSNR change of 29.374 dB."
4,best,mask_robustness,p001,p001__loss_small__variant_03,portrait_figure,Juan de Pareja,,52737.828125,100.2885284423828,52637.53959655762,0.9095812036972816,28.118291020159614,27.20870981646233,improved,"Telea improved the masked region, with an MSE change of 52637.539597 and PSNR change of 27.209 dB."
5,best,mask_robustness,p001,p001__scratch_thin__variant_04,portrait_figure,Juan de Pareja,,51953.40625,148.93780517578125,51804.46844482422,0.9746633415116585,26.40075411300605,25.426090771494398,improved,"Telea improved the masked region, with an MSE change of 51804.468445 and PSNR change of 25.426 dB."
6,best,mask_robustness,p001,p001__scratch_thin__variant_02,portrait_figure,Juan de Pareja,,51236.26953125,105.26343536376952,51131.00609588623,1.0350285925215958,27.90802821377204,26.872999621250443,improved,"Telea improved the masked region, with an MSE change of 51131.006096 and PSNR change of 26.873 dB."
7,best,mask_robustness,p001,p001__loss_small__variant_01,portrait_figure,Juan de Pareja,,50764.4375,246.1794891357422,50518.25801086426,1.075207825608837,24.218284947512416,23.143077121903577,improved,"Telea improved the masked region, with an MSE change of 50518.258011 and PSNR change of 23.143 dB."
8,best,mask_robustness,p001,p001__loss_small__variant_04,portrait_figure,Juan de Pareja,,50626.421875,158.54554748535156,50467.87632751465,1.0870312703936302,26.12926310844725,25.042231838053624,improved,"Telea improved the masked region, with an MSE change of 50467.876328 and PSNR change of 25.042 dB."
9,best,mask_robustness,p001,p001__loss_small__variant_05,portrait_figure,Juan de Pareja,,50742.828125,286.4866027832031,50456.3415222168,1.0770569213171826,23.559760433720744,22.48270351240356,improved,"Telea improved the masked region, with an MSE change of 50456.341522 and PSNR change of 22.483 dB."
10,best,canonical,p001,p001_mixed_damage,portrait_figure,Juan de Pareja,,50902.8046875,591.841552734375,50310.963134765625,1.0633864873258143,20.40874907495594,19.345362587630124,improved,"Telea improved the masked region, with an MSE change of 50310.963135 and PSNR change of 19.345 dB."
