dataset_name,category,evaluation_region,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
canonical,abstraction_surrealism,boundary_region,40,40,8673.3902,110.2746,8563.1156,54.1732,3.4964,50.6768,9.3442,28.4883,19.1442,,,,18511.275
canonical,abstraction_surrealism,content_region,50,50,1096.3046,104.5557,991.7489,6.8266,1.3628,5.4638,18.5833,31.6366,10.4426,0.9455,0.975,0.0295,506419.2
canonical,abstraction_surrealism,full_image,50,50,915.0121,92.4911,822.521,5.7288,1.172,4.5568,19.2902,32.3435,10.4426,0.9538,0.9788,0.0251,589824.0
canonical,abstraction_surrealism,mask_bbox_crop,40,40,3070.2276,331.3925,2738.8351,19.3672,4.3022,15.065,16.6512,29.7045,13.0533,0.8692,0.9247,0.0555,367294.925
canonical,abstraction_surrealism,masked_region,40,40,19631.9781,1420.4834,18211.4948,122.6916,19.6085,103.0832,5.8045,18.8578,13.0533,,,,34663.5
canonical,abstraction_surrealism,outside_mask_region,40,40,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,471755.7
canonical,architecture_structured,boundary_region,40,40,12080.1683,81.7319,11998.4365,69.2703,3.4083,65.862,7.5582,29.663,22.1048,,,,17556.2
canonical,architecture_structured,content_region,50,50,1499.6394,51.6027,1448.0367,8.6806,1.0484,7.6323,16.5321,33.8845,13.8819,0.9366,0.9744,0.0377,437760.0
canonical,architecture_structured,full_image,50,50,1120.9196,38.8181,1082.1014,6.4561,0.7828,5.6732,17.8447,35.1971,13.8819,0.9518,0.9806,0.0288,589824.0
canonical,architecture_structured,mask_bbox_crop,40,40,5034.6558,224.6939,4809.9619,29.4683,4.2426,25.2258,14.2134,31.5658,17.3524,0.8217,0.904,0.0823,306742.05
canonical,architecture_structured,masked_region,40,40,27451.4076,705.6536,26745.7541,157.1763,15.5803,141.596,3.9894,21.3419,17.3524,,,,30498.275
canonical,architecture_structured,outside_mask_region,40,40,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,407261.725
canonical,high_texture_brushwork,boundary_region,40,40,12645.6865,101.2576,12544.4289,71.4074,3.7035,67.7039,7.3016,28.8267,21.525,,,,18610.05
canonical,high_texture_brushwork,content_region,50,50,1546.0854,41.648,1504.4374,8.917,0.9598,7.9571,16.4114,33.7879,13.9012,0.9352,0.9738,0.0386,458803.2
