dataset_name,evaluation_region,rows,cases,mean_damaged_mse,mean_restored_mse,mean_mse_improvement,mean_damaged_mae,mean_restored_mae,mean_mae_improvement,mean_damaged_psnr,mean_restored_psnr,mean_psnr_improvement,mean_damaged_ssim,mean_restored_ssim,mean_ssim_improvement,mean_region_pixel_count
canonical,boundary_region,200,200,12162.8031,98.5573,12064.2457,68.1314,3.4946,64.6367,7.7619,29.245,21.483,,,,17986.685
canonical,content_region,250,250,1508.8464,58.7467,1450.0997,8.5703,1.0651,7.5052,16.8015,33.4655,13.3312,0.9373,0.9749,0.0376,454656.0
canonical,full_image,250,250,1157.3487,46.8519,1110.4968,6.5628,0.8282,5.7346,17.9698,34.6338,13.3312,0.9512,0.9805,0.0292,589824.0
canonical,mask_bbox_crop,200,200,4558.2814,214.8773,4343.404,26.2545,3.7551,22.4995,14.6221,31.286,16.664,0.8365,0.9158,0.0793,320596.69
canonical,masked_region,200,200,27365.2556,814.1982,26551.0574,153.7741,15.8405,137.9336,4.2667,20.9306,16.664,,,,31861.7
canonical,outside_mask_region,200,200,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,422794.3
damage_size,boundary_region,35,35,13844.3647,51.9929,13792.3718,77.9264,2.7959,75.1306,7.1767,32.1611,24.9845,,,,5512.6286
damage_size,content_region,35,35,2576.035,88.2752,2487.7597,14.5704,1.7851,12.7854,15.5848,31.5734,15.9886,0.9323,0.9632,0.0309,441446.4
damage_size,full_image,35,35,1996.5789,65.6152,1930.9638,11.1155,1.3292,9.7862,16.8638,32.8525,15.9886,0.9487,0.9726,0.0238,589824.0
damage_size,mask_bbox_crop,35,35,14659.0061,441.3481,14217.6581,83.3291,9.3383,73.9907,6.9952,22.9838,15.9886,0.5863,0.7865,0.2002,75013.0286
damage_size,masked_region,35,35,27271.829,825.4839,26446.3452,155.5264,17.4339,138.0925,4.2436,20.2323,15.9886,,,,40987.9714
damage_size,outside_mask_region,35,35,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,400458.4286
mask_robustness,boundary_region,75,75,14346.6835,101.7242,14244.9593,77.4308,3.6518,73.7789,6.8366,30.2965,23.4598,,,,12498.8
mask_robustness,content_region,75,75,1946.2667,60.3172,1885.9495,10.5989,1.1846,9.4143,16.5974,35.3952,18.7978,0.9324,0.9717,0.0393,441446.4
mask_robustness,full_image,75,75,1487.2721,44.9568,1442.3153,8.0193,0.8826,7.1367,17.8764,36.6742,18.7978,0.9487,0.9787,0.03,589824.0
mask_robustness,mask_bbox_crop,75,75,6252.4024,238.955,6013.4475,34.2554,4.4026,29.8528,13.3234,32.1212,18.7978,0.8053,0.8986,0.0933,243190.6933
mask_robustness,masked_region,75,75,31355.8637,688.9497,30666.914,169.1038,14.9578,154.146,3.4142,22.212,18.7978,,,,27912.3867
mask_robustness,outside_mask_region,75,75,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,413534.0133
synthetic,boundary_region,50,50,4.4917,9.559,-5.0673,0.4345,0.6213,-0.1869,52.2442,46.2416,-5.1622,,,,12034.86
synthetic,content_region,50,50,62.6203,144.9221,-82.3018,2.4357,3.3209,-0.8852,44.3325,36.0965,-8.236,0.9872,0.9552,-0.0321,441446.4
synthetic,full_image,50,50,49.3356,109.6564,-60.3208,1.8812,2.5269,-0.6457,45.6115,37.3755,-8.236,0.9898,0.9661,-0.0237,589824.0
synthetic,mask_bbox_crop,50,50,71.0407,185.5891,-114.5484,3.3361,4.7529,-1.4169,41.971,33.735,-8.236,0.984,0.9327,-0.0513,301252.04
synthetic,masked_region,50,50,91.5069,250.5959,-159.089,4.7708,6.8247,-2.0539,39.0456,30.8096,-8.236,,,,153704.9
synthetic,outside_mask_region,50,50,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,287741.5
