dataset_name,evaluation_region,metric,valid_cases,improved_cases,unchanged_cases,worsened_cases,improvement_rate,median_improvement,mean_improvement,improvement_percentage
canonical,boundary_region,MSE,200,200,0,0,1.0,12632.810050964355,12064.24572740674,100.0
canonical,boundary_region,MAE,200,200,0,0,1.0,66.12934947013855,64.63673246383667,100.0
canonical,boundary_region,PSNR,200,200,0,0,1.0,21.67803241810293,21.483043240861047,100.0
canonical,content_region,MSE,250,200,50,0,0.8,949.578076839447,1450.09971249938,80.0
canonical,content_region,MAE,250,200,50,0,0.8,5.53125736117363,7.505223387598991,80.0
canonical,content_region,PSNR,250,200,50,0,0.8,14.928421330378795,13.331182604529962,80.0
canonical,content_region,SSIM,250,200,50,0,0.8,0.0316360052039915,0.037578733156749894,80.0
canonical,full_image,MSE,250,200,50,0,0.8,719.2629786729813,1110.4967683176994,80.0
canonical,full_image,MAE,250,200,50,0,0.8,4.206777468323708,5.7345654577314855,80.0
canonical,full_image,PSNR,250,200,50,0,0.8,14.92842303092025,13.331182688304176,80.0
canonical,full_image,SSIM,250,200,50,0,0.8,0.026193314745090547,0.029238908144179346,80.0
canonical,mask_bbox_crop,MSE,200,200,0,0,1.0,2097.3729572296143,4343.404041451216,100.0
canonical,mask_bbox_crop,MAE,200,200,0,0,1.0,11.131591260433197,22.499491401193662,100.0
canonical,mask_bbox_crop,PSNR,200,200,0,0,1.0,16.553512749582403,16.663978397329753,100.0
canonical,mask_bbox_crop,SSIM,200,200,0,0,1.0,0.0657813076835607,0.07929361388301807,100.0
canonical,masked_region,MSE,200,200,0,0,1.0,26993.18975830078,26551.057419071196,100.0
canonical,masked_region,MAE,200,200,0,0,1.0,141.88690996170044,137.93359336435796,100.0
canonical,masked_region,PSNR,200,200,0,0,1.0,16.553512001071695,16.663978322859297,100.0
canonical,outside_mask_region,MSE,200,0,200,0,0.0,0.0,0.0,0.0
canonical,outside_mask_region,MAE,200,0,200,0,0.0,0.0,0.0,0.0
canonical,outside_mask_region,PSNR,200,0,200,0,0.0,0.0,0.0,0.0
damage_size,boundary_region,MSE,35,35,0,0,1.0,12670.541175842283,13792.371835626875,100.0
damage_size,boundary_region,MAE,35,35,0,0,1.0,72.08699131011963,75.13056625298091,100.0
damage_size,boundary_region,PSNR,35,35,0,0,1.0,24.201414429182684,24.984472058663886,100.0
damage_size,content_region,MSE,35,35,0,0,1.0,1884.7570190429688,2487.7597390600613,100.0
damage_size,content_region,MAE,35,35,0,0,1.0,10.449151873588562,12.785369826640402,100.0
damage_size,content_region,PSNR,35,35,0,0,1.0,15.520800832178974,15.988623037130875,100.0
damage_size,content_region,SSIM,35,35,0,0,1.0,0.0231619841559926,0.030881363272155442,100.0
damage_size,full_image,MSE,35,35,0,0,1.0,1384.1186447143557,1930.9637623872077,100.0
damage_size,full_image,MAE,35,35,0,0,1.0,7.470332145690918,9.786210826784373,100.0
damage_size,full_image,PSNR,35,35,0,0,1.0,15.52080108422648,15.988623257834368,100.0
damage_size,full_image,SSIM,35,35,0,0,1.0,0.0164598965340433,0.02384633266029087,100.0
damage_size,mask_bbox_crop,MSE,35,35,0,0,1.0,11832.528411865234,14217.658051953997,100.0
damage_size,mask_bbox_crop,MAE,35,35,0,0,1.0,65.58791160583496,73.99071580341884,100.0
damage_size,mask_bbox_crop,PSNR,35,35,0,0,1.0,15.520801020894336,15.988623251981046,100.0
damage_size,mask_bbox_crop,SSIM,35,35,0,0,1.0,0.1789233894424529,0.2001643381587666,100.0
damage_size,masked_region,MSE,35,35,0,0,1.0,23707.92529296875,26446.345188794818,100.0
damage_size,masked_region,MAE,35,35,0,0,1.0,129.55374336242676,138.09247999191285,100.0
damage_size,masked_region,PSNR,35,35,0,0,1.0,15.520800747244085,15.988623019886784,100.0
damage_size,outside_mask_region,MSE,35,0,35,0,0.0,0.0,0.0,0.0
damage_size,outside_mask_region,MAE,35,0,35,0,0.0,0.0,0.0,0.0
damage_size,outside_mask_region,PSNR,35,0,35,0,0.0,0.0,0.0,0.0
mask_robustness,boundary_region,MSE,75,75,0,0,1.0,12894.912117004396,14244.959283186594,100.0
mask_robustness,boundary_region,MAE,75,75,0,0,1.0,72.31121468544006,73.77892666975657,100.0
mask_robustness,boundary_region,PSNR,75,75,0,0,1.0,23.15029695533559,23.45983886318585,100.0
mask_robustness,content_region,MSE,75,75,0,0,1.0,1302.2284927368164,1885.949472585519,100.0
mask_robustness,content_region,MAE,75,75,0,0,1.0,6.847038805484772,9.414327763219674,100.0
mask_robustness,content_region,PSNR,75,75,0,0,1.0,18.9541511710555,18.797840157774036,100.0
mask_robustness,content_region,SSIM,75,75,0,0,1.0,0.0346114243930999,0.0392502978279784,100.0
mask_robustness,full_image,MSE,75,75,0,0,1.0,915.4523434638976,1442.315274679661,100.0
mask_robustness,full_image,MAE,75,75,0,0,1.0,4.825816750526428,7.1367033950487775,100.0
mask_robustness,full_image,PSNR,75,75,0,0,1.0,18.954149590063857,18.797840209144628,100.0
mask_robustness,full_image,SSIM,75,75,0,0,1.0,0.024127890729078,0.029954444187343245,100.0
mask_robustness,mask_bbox_crop,MSE,75,75,0,0,1.0,2124.4330825805664,6013.447481487592,100.0
mask_robustness,mask_bbox_crop,MAE,75,75,0,0,1.0,10.876203298568726,29.852786133786044,100.0
mask_robustness,mask_bbox_crop,PSNR,75,75,0,0,1.0,18.95415025995456,18.797840315690355,100.0
mask_robustness,mask_bbox_crop,SSIM,75,75,0,0,1.0,0.0725766688534338,0.09332416073177834,100.0
mask_robustness,masked_region,MSE,75,75,0,0,1.0,28603.488159179688,30666.914012451172,100.0
mask_robustness,masked_region,MAE,75,75,0,0,1.0,151.77906036376953,154.14599682490032,100.0
mask_robustness,masked_region,PSNR,75,75,0,0,1.0,18.954150213006077,18.797840165890204,100.0
mask_robustness,outside_mask_region,MSE,75,0,75,0,0.0,0.0,0.0,0.0
mask_robustness,outside_mask_region,MAE,75,0,75,0,0.0,0.0,0.0,0.0
mask_robustness,outside_mask_region,PSNR,75,0,75,0,0.0,0.0,0.0,0.0
synthetic,boundary_region,MSE,50,0,35,15,0.0,0.0,-5.067306137946434,0.0
synthetic,boundary_region,MAE,50,0,35,15,0.0,0.0,-0.18687908974010498,0.0
synthetic,boundary_region,PSNR,50,0,35,15,0.0,0.0,-5.162244024604305,0.0
synthetic,content_region,MSE,50,1,5,44,0.02,-4.5438890010118484,-82.30182408138789,2.0
synthetic,content_region,MAE,50,2,5,43,0.04,-0.120927594602108,-0.8852488121940405,4.0
synthetic,content_region,PSNR,50,1,5,44,0.02,-7.15877887888513,-8.23600677974006,2.0
synthetic,content_region,SSIM,50,0,5,45,0.0,-0.0073455780723981,-0.03205783505226128,0.0
synthetic,full_image,MSE,50,1,5,44,0.02,-3.0636737942695618,-60.32076186304708,2.0
synthetic,full_image,MAE,50,2,5,43,0.04,-0.08093745633959765,-0.6457411720909295,4.0
synthetic,full_image,PSNR,50,1,5,44,0.02,-7.158778471287192,-8.236006717394527,2.0
synthetic,full_image,SSIM,50,0,5,45,0.0,-0.0054542941895352505,-0.023703845849681802,0.0
synthetic,mask_bbox_crop,MSE,50,1,5,44,0.02,-5.926214694976807,-114.54842202572036,2.0
synthetic,mask_bbox_crop,MAE,50,2,5,43,0.04,-0.15988154709339142,-1.4168584336340428,4.0
synthetic,mask_bbox_crop,PSNR,50,1,5,44,0.02,-7.158778633678878,-8.236006663435264,2.0
synthetic,mask_bbox_crop,SSIM,50,0,5,45,0.0,-0.01280074603983085,-0.05131345038232519,0.0
synthetic,masked_region,MSE,50,1,5,44,0.02,-11.24096092581749,-159.08902045657277,2.0
synthetic,masked_region,MAE,50,2,5,43,0.04,-0.3415675610303879,-2.053921260026982,4.0
synthetic,masked_region,PSNR,50,1,5,44,0.02,-7.158778904630797,-8.236006921549523,2.0
synthetic,outside_mask_region,MSE,50,0,50,0,0.0,0.0,0.0,0.0
synthetic,outside_mask_region,MAE,50,0,50,0,0.0,0.0,0.0,0.0
synthetic,outside_mask_region,PSNR,50,0,50,0,0.0,0.0,0.0,0.0
