rank,ranking_group,dataset_name,painting_id,case_id,category,title,mask_type,damaged_mse,restored_mse,mse_improvement,damaged_psnr,restored_psnr,psnr_improvement,restoration_outcome,interpretation
1,best,mask_robustness,p001,p001__scratch_thin__variant_01,portrait_figure,Juan de Pareja,,54909.4765625,44.40283966064453,54865.07372283936,0.7343305715309524,31.656696157642585,30.922365586111628,improved,"Telea improved the masked region, with an MSE change of 54865.073723 and PSNR change of 30.922 dB."
2,best,canonical,p001,p001_loss_small,portrait_figure,Juan de Pareja,,54324.203125,68.4379653930664,54255.76515960693,0.7808699644053069,29.77783271040616,28.99696274600085,improved,"Telea improved the masked region, with an MSE change of 54255.765160 and PSNR change of 28.997 dB."
3,best,canonical,p006,p006_scratch_thin,portrait_figure,Boy with a Sword,,53555.17578125,61.86423873901367,53493.311542510986,0.8427891175766073,30.216406877177647,29.37361775960104,improved,"Telea improved the masked region, with an MSE change of 53493.311543 and PSNR change of 29.374 dB."
4,best,mask_robustness,p001,p001__loss_small__variant_03,portrait_figure,Juan de Pareja,,52737.828125,100.2885284423828,52637.53959655762,0.9095812036972816,28.118291020159614,27.20870981646233,improved,"Telea improved the masked region, with an MSE change of 52637.539597 and PSNR change of 27.209 dB."
5,best,mask_robustness,p001,p001__scratch_thin__variant_04,portrait_figure,Juan de Pareja,,51953.40625,148.93780517578125,51804.46844482422,0.9746633415116585,26.40075411300605,25.426090771494398,improved,"Telea improved the masked region, with an MSE change of 51804.468445 and PSNR change of 25.426 dB."
6,best,mask_robustness,p001,p001__scratch_thin__variant_02,portrait_figure,Juan de Pareja,,51236.26953125,105.26343536376952,51131.00609588623,1.0350285925215958,27.90802821377204,26.872999621250443,improved,"Telea improved the masked region, with an MSE change of 51131.006096 and PSNR change of 26.873 dB."
7,best,mask_robustness,p001,p001__loss_small__variant_01,portrait_figure,Juan de Pareja,,50764.4375,246.1794891357422,50518.25801086426,1.075207825608837,24.218284947512416,23.143077121903577,improved,"Telea improved the masked region, with an MSE change of 50518.258011 and PSNR change of 23.143 dB."
8,best,mask_robustness,p001,p001__loss_small__variant_04,portrait_figure,Juan de Pareja,,50626.421875,158.54554748535156,50467.87632751465,1.0870312703936302,26.12926310844725,25.042231838053624,improved,"Telea improved the masked region, with an MSE change of 50467.876328 and PSNR change of 25.042 dB."
9,best,mask_robustness,p001,p001__loss_small__variant_05,portrait_figure,Juan de Pareja,,50742.828125,286.4866027832031,50456.3415222168,1.0770569213171826,23.559760433720744,22.48270351240356,improved,"Telea improved the masked region, with an MSE change of 50456.341522 and PSNR change of 22.483 dB."
10,best,canonical,p001,p001_mixed_damage,portrait_figure,Juan de Pareja,,50902.8046875,591.841552734375,50310.963134765625,1.0633864873258143,20.40874907495594,19.345362587630124,improved,"Telea improved the masked region, with an MSE change of 50310.963135 and PSNR change of 19.345 dB."
1,worst,synthetic,p039,p039__partial_transparency__severe,abstraction_surrealism,Painting with Troika,,344.2683410644531,1404.7786865234375,-1060.5103454589844,22.761832740714123,16.65472451425672,-6.107108226457402,worsened,"Telea worsened the masked region, with an MSE change of -1060.510345 and PSNR change of -6.107 dB."
2,worst,synthetic,p039,p039__partial_transparency__moderate,abstraction_surrealism,Painting with Troika,,121.3027801513672,1155.099609375,-1033.7968292236328,27.292096062456803,17.504609238807756,-9.787486823649049,worsened,"Telea worsened the masked region, with an MSE change of -1033.796829 and PSNR change of -9.787 dB."
3,worst,synthetic,p043,p043__partial_transparency__severe,high_texture_brushwork,The Card Players,,547.3335571289062,1488.9608154296875,-941.6272583007812,20.74828285228336,16.401970921732122,-4.346311930551238,worsened,"Telea worsened the masked region, with an MSE change of -941.627258 and PSNR change of -4.346 dB."
4,worst,synthetic,p026,p026__partial_transparency__severe,architecture_structured,View of a Village along a River,,224.5095977783203,860.2576904296875,-635.7480926513672,24.618454490561174,18.7845179710328,-5.833936519528375,worsened,"Telea worsened the masked region, with an MSE change of -635.748093 and PSNR change of -5.834 dB."
5,worst,synthetic,p018,p018__partial_transparency__severe,landscape_natural,Classical Landscape with Figures,,556.7607421875,1140.8822021484375,-584.1214599609375,20.67411755767585,17.55839555711697,-3.115722000558879,worsened,"Telea worsened the masked region, with an MSE change of -584.121460 and PSNR change of -3.116 dB."
6,worst,synthetic,p018,p018__water_stain__mild,landscape_natural,Classical Landscape with Figures,,16.52081298828125,521.2301025390625,-504.7092895507813,35.950489457505675,20.960508713463835,-14.98998074404184,worsened,"Telea worsened the masked region, with an MSE change of -504.709290 and PSNR change of -14.990 dB."
7,worst,synthetic,p043,p043__partial_transparency__moderate,high_texture_brushwork,The Card Players,,108.31393432617188,599.7294311523438,-491.4154968261719,27.783960297117787,20.35124998917864,-7.43271030793915,worsened,"Telea worsened the masked region, with an MSE change of -491.415497 and PSNR change of -7.433 dB."
8,worst,synthetic,p039,p039__water_stain__moderate,abstraction_surrealism,Painting with Troika,,73.92647552490234,538.9094848632812,-464.9830093383789,29.44280359344725,20.815645335763293,-8.62715825768396,worsened,"Telea worsened the masked region, with an MSE change of -464.983009 and PSNR change of -8.627 dB."
9,worst,synthetic,p039,p039__partial_transparency__mild,abstraction_surrealism,Painting with Troika,,7.87642765045166,291.83038330078125,-283.9539556503296,39.16751072753119,23.479498553086025,-15.688012174445165,worsened,"Telea worsened the masked region, with an MSE change of -283.953956 and PSNR change of -15.688 dB."
10,worst,synthetic,p043,p043__partial_transparency__mild,high_texture_brushwork,The Card Players,,30.1422119140625,309.4403076171875,-279.298095703125,33.339052420590235,23.225034767290257,-10.114017653299978,worsened,"Telea worsened the masked region, with an MSE change of -279.298096 and PSNR change of -10.114 dB."
