rank,ranking_group,dataset_name,painting_id,case_id,category,title,mask_type,damaged_mse,restored_mse,mse_improvement,damaged_psnr,restored_psnr,psnr_improvement,restoration_outcome,interpretation
1,worst,synthetic,p039,p039__partial_transparency__severe,abstraction_surrealism,Painting with Troika,,344.2683410644531,1404.7786865234375,-1060.5103454589844,22.761832740714123,16.65472451425672,-6.107108226457402,worsened,"Telea worsened the masked region, with an MSE change of -1060.510345 and PSNR change of -6.107 dB."
2,worst,synthetic,p039,p039__partial_transparency__moderate,abstraction_surrealism,Painting with Troika,,121.3027801513672,1155.099609375,-1033.7968292236328,27.292096062456803,17.504609238807756,-9.787486823649049,worsened,"Telea worsened the masked region, with an MSE change of -1033.796829 and PSNR change of -9.787 dB."
3,worst,synthetic,p043,p043__partial_transparency__severe,high_texture_brushwork,The Card Players,,547.3335571289062,1488.9608154296875,-941.6272583007812,20.74828285228336,16.401970921732122,-4.346311930551238,worsened,"Telea worsened the masked region, with an MSE change of -941.627258 and PSNR change of -4.346 dB."
4,worst,synthetic,p026,p026__partial_transparency__severe,architecture_structured,View of a Village along a River,,224.5095977783203,860.2576904296875,-635.7480926513672,24.618454490561174,18.7845179710328,-5.833936519528375,worsened,"Telea worsened the masked region, with an MSE change of -635.748093 and PSNR change of -5.834 dB."
5,worst,synthetic,p018,p018__partial_transparency__severe,landscape_natural,Classical Landscape with Figures,,556.7607421875,1140.8822021484375,-584.1214599609375,20.67411755767585,17.55839555711697,-3.115722000558879,worsened,"Telea worsened the masked region, with an MSE change of -584.121460 and PSNR change of -3.116 dB."
6,worst,synthetic,p018,p018__water_stain__mild,landscape_natural,Classical Landscape with Figures,,16.52081298828125,521.2301025390625,-504.7092895507813,35.950489457505675,20.960508713463835,-14.98998074404184,worsened,"Telea worsened the masked region, with an MSE change of -504.709290 and PSNR change of -14.990 dB."
7,worst,synthetic,p043,p043__partial_transparency__moderate,high_texture_brushwork,The Card Players,,108.31393432617188,599.7294311523438,-491.4154968261719,27.783960297117787,20.35124998917864,-7.43271030793915,worsened,"Telea worsened the masked region, with an MSE change of -491.415497 and PSNR change of -7.433 dB."
8,worst,synthetic,p039,p039__water_stain__moderate,abstraction_surrealism,Painting with Troika,,73.92647552490234,538.9094848632812,-464.9830093383789,29.44280359344725,20.815645335763293,-8.62715825768396,worsened,"Telea worsened the masked region, with an MSE change of -464.983009 and PSNR change of -8.627 dB."
9,worst,synthetic,p039,p039__partial_transparency__mild,abstraction_surrealism,Painting with Troika,,7.87642765045166,291.83038330078125,-283.9539556503296,39.16751072753119,23.479498553086025,-15.688012174445165,worsened,"Telea worsened the masked region, with an MSE change of -283.953956 and PSNR change of -15.688 dB."
10,worst,synthetic,p043,p043__partial_transparency__mild,high_texture_brushwork,The Card Players,,30.1422119140625,309.4403076171875,-279.298095703125,33.339052420590235,23.225034767290257,-10.114017653299978,worsened,"Telea worsened the masked region, with an MSE change of -279.298096 and PSNR change of -10.114 dB."
