metric_family,metric_name,report_region,rows,cases,mean_improvement,median_improvement,positive_rate,negative_rate
classical,mae,boundary_region,355,355,-11.94069,-13.12875,0.22817,0.77183
classical,mae,content_region,410,410,-2.1574,-1.00719,0.17805,0.6878
classical,mae,full_image,410,410,-1.67741,-0.75104,0.17805,0.6878
classical,mae,mask_bbox_crop,355,355,-8.01488,-2.48976,0.20563,0.79437
classical,mae,masked_region,355,355,-39.39728,-38.27461,0.20563,0.79437
classical,mae,outside_mask_region,410,410,0.0,0.0,0.0,0.0
classical,mse,boundary_region,355,355,22.76977,24.39491,0.89014,0.10986
classical,mse,content_region,410,410,2.10177,1.78531,0.76341,0.10244
classical,mse,full_image,410,410,1.61218,1.35406,0.76341,0.10244
classical,mse,mask_bbox_crop,355,355,6.84365,3.67225,0.88169,0.11831
classical,mse,masked_region,355,355,39.12983,41.16161,0.88169,0.11831
classical,mse,outside_mask_region,410,410,0.0,0.0,0.0,0.0
classical,psnr,boundary_region,355,355,3.2861,3.82564,0.89014,0.10986
classical,psnr,content_region,410,410,1.6954,1.79081,0.76341,0.10244
classical,psnr,full_image,410,410,1.6954,1.79081,0.76341,0.10244
classical,psnr,mask_bbox_crop,355,355,1.94559,2.11389,0.88169,0.11831
classical,psnr,masked_region,355,355,1.82104,2.11389,0.88169,0.11831
classical,psnr,outside_mask_region,410,410,0.0,0.0,0.0,0.0
classical,ssim,content_region,410,410,0.02882,0.02823,0.7561,0.10976
classical,ssim,full_image,410,410,0.02245,0.0211,0.7561,0.10976
classical,ssim,mask_bbox_crop,355,355,0.06936,0.06495,0.87324,0.12676
feature_similarity,clip,content_region,410,410,0.06793,0.07484,0.74878,0.11707
feature_similarity,clip,full_image,410,410,0.06336,0.0677,0.73902,0.12683
feature_similarity,clip,mask_bbox_crop,355,355,0.07106,0.08109,0.82535,0.17465
feature_similarity,dinov2,content_region,410,410,0.02265,0.00898,0.54878,0.31707
feature_similarity,dinov2,full_image,410,410,0.0423,0.01863,0.57317,0.29268
feature_similarity,dinov2,mask_bbox_crop,355,355,-0.00989,0.02581,0.59155,0.40845
feature_similarity,mean_feature_similarity,content_region,410,410,0.04529,0.04425,0.66098,0.20488
feature_similarity,mean_feature_similarity,full_image,410,410,0.05283,0.04502,0.65366,0.2122
feature_similarity,mean_feature_similarity,mask_bbox_crop,355,355,0.03059,0.05431,0.62254,0.37746
perceptual,lpips,content_region,410,410,0.14196,0.11973,0.7561,0.10976
perceptual,lpips,full_image,410,410,0.12492,0.10135,0.7561,0.10976
perceptual,lpips,mask_bbox_crop,355,355,0.19051,0.20485,0.87324,0.12676
