case_id,painting_id,mask_id,mask_type,model_name,algorithm,inpaint_radius,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,restored_filename,restored_path,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,status,issue,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,error_map_figure_path
p001_loss_large,p001,p001_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_large_mask.png,p001_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_large_damaged.png,p001_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_loss_large_restored_opencv_telea.png,67242,13.2058,11.4003,ok,,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,48997.8046875,981.8536376953124,48015.95104980469,219.8046112060547,19.00289535522461,200.80171585083008,1.229037386651714,18.210336073770225,16.981298687118507,0.5921071767807007,0.2738807201385498,0.3182264566421509,0.8108999729156494,0.8080077767372131,-0.0028921961784362,0.7064647078514099,0.7482913732528687,0.0418266654014587,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_loss_large_opencv_telea_error_maps.png
p001_loss_small,p001,p001_loss_small,loss_small,opencv_telea,cv2.INPAINT_TELEA,3,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_loss_small_mask.png,p001_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_loss_small_damaged.png,p001_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_loss_small_restored_opencv_telea.png,24198,4.7523,4.1026,ok,,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,46995.5,32.689231872558594,46962.81076812744,216.0694580078125,3.5549495220184326,212.51450848579407,1.4102408630948342,32.986756451645235,31.5765155885504,0.3410093188285827,0.0078263469040393,0.3331829719245434,0.9106937050819396,0.999297559261322,0.0886038541793823,0.9489419460296632,0.9978883266448976,0.0489463806152343,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_loss_small_opencv_telea_error_maps.png
p001_mixed_damage,p001,p001_mixed_damage,mixed_damage,opencv_telea,cv2.INPAINT_TELEA,3,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_mixed_damage_mask.png,p001_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_mixed_damage_damaged.png,p001_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_mixed_damage_restored_opencv_telea.png,44392,8.7183,7.5263,ok,,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,50740.69921875,219.76803588867188,50520.93118286133,224.4674072265625,7.844874382019043,216.62253284454343,1.0772391326102264,24.71115834048137,23.63391920787114,0.4163284003734588,0.0304844602942466,0.3858439400792122,0.8958069682121277,0.9943641424179076,0.09855717420578,0.7951979041099548,0.9748541116714478,0.1796562075614929,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_mixed_damage_opencv_telea_error_maps.png
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,opencv_telea,cv2.INPAINT_TELEA,3,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_scratch_thin_mask.png,p001_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_scratch_thin_damaged.png,p001_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_scratch_thin_restored_opencv_telea.png,8012,1.5735,1.3584,ok,,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,48508.55859375,173.1220245361328,48335.43656921387,217.93804931640625,6.558287620544434,211.37976169586184,1.272619908817357,25.747280386537167,24.47466047771981,0.4253467917442322,0.0054611470550298,0.4198856446892023,0.857966423034668,0.9996324777603148,0.1416660547256469,0.9249415397644044,0.998967945575714,0.0740264058113098,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_scratch_thin_opencv_telea_error_maps.png
p002_loss_large,p002,p002_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_large_mask.png,p002_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_large_damaged.png,p002_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_loss_large_restored_opencv_telea.png,49705,14.4143,8.4271,ok,,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,51229.84765625,315.2899169921875,50914.55773925781,225.61866760253903,11.879395484924316,213.73927211761475,1.0355729646430696,23.14370278685415,22.10812982221108,0.5892032980918884,0.2020873725414276,0.3871159255504608,0.724332869052887,0.8238481283187866,0.0995152592658996,0.7628775835037231,0.774365246295929,0.0114876627922058,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_loss_large_opencv_telea_error_maps.png
p002_loss_small,p002,p002_loss_small,loss_small,opencv_telea,cv2.INPAINT_TELEA,3,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_loss_small_mask.png,p002_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_loss_small_damaged.png,p002_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_loss_small_restored_opencv_telea.png,19520,5.6607,3.3095,ok,,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,45094.36328125,73.05841827392578,45021.30486297608,211.52651977539065,5.103739738464356,206.42278003692627,1.5895810166933888,29.49410095433047,27.904519937637083,0.1513971984386444,0.0136558897793293,0.1377413086593151,0.939056158065796,0.9977714419364928,0.058715283870697,0.942081093788147,0.99410080909729,0.052019715309143,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_loss_small_opencv_telea_error_maps.png
p002_mixed_damage,p002,p002_mixed_damage,mixed_damage,opencv_telea,cv2.INPAINT_TELEA,3,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_mixed_damage_mask.png,p002_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_mixed_damage_damaged.png,p002_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_mixed_damage_restored_opencv_telea.png,42027,12.1877,7.1253,ok,,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,45998.87890625,281.3128662109375,45717.56604003906,212.27674865722656,9.358214378356934,202.91853427886963,1.5033311376812983,23.63890765223754,22.13557651455624,0.4236736595630646,0.0505921393632888,0.3730815201997757,0.8460491895675659,0.9846564531326294,0.1386072635650634,0.8311237692832947,0.9410716891288756,0.109947919845581,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_mixed_damage_opencv_telea_error_maps.png
p002_scratch_thin,p002,p002_scratch_thin,scratch_thin,opencv_telea,cv2.INPAINT_TELEA,3,p002_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p002_clean.png,p002_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p002_scratch_thin_mask.png,p002_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p002_scratch_thin_damaged.png,p002_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p002_scratch_thin_restored_opencv_telea.png,8436,2.4464,1.4303,ok,,Madame X (Madame Pierre Gautreau),John Singer Sargent,1883-84,portrait_figure,19th century portraiture,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/12127,Public Domain / Open Access,p002.jpg,50183.65625,69.27576446533203,50114.38048553467,222.0612030029297,3.182985544204712,218.87821745872495,1.1251806117602,29.72499033902007,28.59980972725987,0.285620242357254,0.0016085176030173,0.2840117247542366,0.8899277448654175,0.999643087387085,0.1097153425216674,0.874204158782959,0.999354362487793,0.1251502037048339,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p002_scratch_thin_opencv_telea_error_maps.png
p003_loss_large,p003,p003_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,p003_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_loss_large_mask.png,p003_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_loss_large_damaged.png,p003_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p003_loss_large_restored_opencv_telea.png,48196,10.2207,8.1713,ok,,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,32118.875,843.3235473632812,31275.55145263672,175.64564514160156,19.97798538208008,155.66765975952148,3.0632003565132297,18.87086133958141,15.80766098306818,0.5375250577926636,0.2970004081726074,0.2405246496200561,0.8102953433990479,0.834200382232666,0.0239050388336181,0.8174824714660645,0.6743308305740356,-0.1431516408920288,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_loss_large_opencv_telea_error_maps.png
p003_loss_small,p003,p003_loss_small,loss_small,opencv_telea,cv2.INPAINT_TELEA,3,p003_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p003_clean.png,p003_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p003_loss_small_mask.png,p003_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p003_loss_small_damaged.png,p003_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p003_loss_small_restored_opencv_telea.png,20912,4.4347,3.5455,ok,,Marie Joséphine Charlotte du Val d'Ognes,Marie-Denise Villers,1801,portrait_figure,Neoclassical / early 19th century,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437903,Public Domain / Open Access,p003.jpg,35625.2265625,452.4289855957031,35172.7975769043,185.119873046875,12.185491561889648,172.93438148498535,2.6132272589960537,21.57529939943813,18.962072140442075,0.1557527482509613,0.0260709803551435,0.1296817678958177,0.9348210096359252,0.9937570095062256,0.0589359998703002,0.965388000011444,0.9793615937232972,0.013973593711853,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p003_loss_small_opencv_telea_error_maps.png
