case_id,painting_id,mask_id,mask_type,model_name,algorithm,inpaint_radius,clean_filename,clean_path,mask_filename,mask_path,damaged_filename,damaged_path,restored_filename,restored_path,damaged_area_pixels,damaged_area_percentage_content,damaged_area_percentage_full,status,issue,title,artist,date,category,style_or_period,medium,source,source_url,license,filename,damaged_mse,restored_mse,mse_improvement,damaged_mae,restored_mae,mae_improvement,damaged_psnr,restored_psnr,psnr_improvement,damaged_lpips,restored_lpips,lpips_improvement,clip_damaged_similarity,clip_restored_similarity,clip_similarity_improvement,dinov2_damaged_similarity,dinov2_restored_similarity,dinov2_similarity_improvement,error_map_figure_path,selection_reason,selection_metric
p001_scratch_thin,p001,p001_scratch_thin,scratch_thin,opencv_telea,cv2.INPAINT_TELEA,3,p001_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p001_clean.png,p001_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p001_scratch_thin_mask.png,p001_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p001_scratch_thin_damaged.png,p001_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p001_scratch_thin_restored_opencv_telea.png,8012,1.5735,1.3584,ok,,Juan de Pareja,Diego Velázquez,1650,portrait_figure,Baroque,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/437869,Public Domain / Open Access,p001.jpg,48508.55859375,173.1220245361328,48335.43656921387,217.93804931640625,6.558287620544434,211.37976169586184,1.272619908817357,25.747280386537167,24.47466047771981,0.4253467917442322,0.0054611470550298,0.4198856446892023,0.857966423034668,0.9996324777603148,0.1416660547256469,0.9249415397644044,0.998967945575714,0.0740264058113098,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p001_scratch_thin_opencv_telea_error_maps.png,Strongest mask-bbox LPIPS improvement,lpips_improvement
p006_loss_large,p006,p006_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p006_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p006_clean.png,p006_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p006_loss_large_mask.png,p006_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p006_loss_large_damaged.png,p006_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p006_loss_large_restored_opencv_telea.png,51891,11.7303,8.7977,ok,,Boy with a Sword,Édouard Manet,1861,portrait_figure,Realism / early modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436948,Public Domain / Open Access,p006.jpg,52182.81640625,344.2409973144531,51838.57540893555,227.9275665283203,11.80357551574707,216.12399101257324,0.9555284576862368,22.7621776957956,21.80664923810936,0.5987578630447388,0.2149134427309036,0.3838444203138351,0.9024126529693604,0.9188846349716188,0.0164719820022583,0.7053844928741455,0.7214587330818176,0.0160742402076721,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p006_loss_large_opencv_telea_error_maps.png,Strongest masked-region MSE improvement,mse_improvement
p006_mixed_damage,p006,p006_mixed_damage,mixed_damage,opencv_telea,cv2.INPAINT_TELEA,3,p006_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p006_clean.png,p006_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p006_mixed_damage_mask.png,p006_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p006_mixed_damage_damaged.png,p006_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p006_mixed_damage_restored_opencv_telea.png,44236,9.9998,7.4999,ok,,Boy with a Sword,Édouard Manet,1861,portrait_figure,Realism / early modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436948,Public Domain / Open Access,p006.jpg,51966.46484375,125.12757873535156,51841.33726501465,227.1151428222656,5.385485649108887,221.72965717315677,0.973571870712628,27.15727319978992,26.183701329077287,0.4381484985351562,0.0294257998466491,0.4087226986885071,0.8322579860687256,0.9883782863616944,0.1561203002929687,0.7655925750732422,0.9774463772773744,0.211853802204132,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p006_mixed_damage_opencv_telea_error_maps.png,Strong category example by MSE improvement; Strongest masked-region MSE improvement,mse_improvement
p006_scratch_thin,p006,p006_scratch_thin,scratch_thin,opencv_telea,cv2.INPAINT_TELEA,3,p006_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p006_clean.png,p006_scratch_thin_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p006_scratch_thin_mask.png,p006_scratch_thin_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p006_scratch_thin_damaged.png,p006_scratch_thin_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p006_scratch_thin_restored_opencv_telea.png,13053,2.9507,2.213,ok,,Boy with a Sword,Édouard Manet,1861,portrait_figure,Realism / early modern French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436948,Public Domain / Open Access,p006.jpg,51070.07421875,72.9850082397461,50997.089210510254,224.1601104736328,3.604586362838745,220.55552411079407,1.0491387186355186,29.49846699478936,28.44932827615384,0.4662443399429321,0.0051185730844736,0.4611257668584585,0.8714858889579773,0.9982210397720336,0.1267351508140564,0.8107290267944336,0.9984546303749084,0.1877256035804748,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p006_scratch_thin_opencv_telea_error_maps.png,Strongest mask-bbox LPIPS improvement; Strongest masked-region MSE improvement,lpips_improvement; mse_improvement
p009_loss_large,p009,p009_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p009_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p009_clean.png,p009_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p009_loss_large_mask.png,p009_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p009_loss_large_damaged.png,p009_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p009_loss_large_restored_opencv_telea.png,58251,12.293,9.876,ok,,Madame Roulin and Her Baby,Vincent van Gogh,1888,portrait_figure,Post-Impressionism,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/459123,Public Domain / Open Access,p009.jpg,20982.900390625,2045.8681640625,18937.0322265625,120.02590942382812,26.000703811645508,94.02520561218262,4.91214841901545,15.022027165674832,10.109878746659383,0.6020157337188721,0.3247648477554321,0.2772508859634399,0.7947430610656738,0.7285798788070679,-0.0661631822586059,0.687800407409668,0.3880608677864074,-0.2997395396232605,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p009_loss_large_opencv_telea_error_maps.png,Weakest DINOv2 feature improvement,dinov2_similarity_improvement
p010_mixed_damage,p010,p010_mixed_damage,mixed_damage,opencv_telea,cv2.INPAINT_TELEA,3,p010_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p010_clean.png,p010_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p010_mixed_damage_mask.png,p010_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p010_mixed_damage_damaged.png,p010_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p010_mixed_damage_restored_opencv_telea.png,48195,9.0293,8.1711,ok,,Joan of Arc,Jules Bastien-Lepage,1879,portrait_figure,19th century French painting,Oil on canvas,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/435621,Public Domain / Open Access,p010.jpg,40294.81640625,554.0282592773438,39740.788146972656,198.8666534423828,14.113670349121094,184.7529830932617,2.0783117951477466,20.69548443548853,18.617172640340787,0.496726781129837,0.0557911805808544,0.4409356005489826,0.762116551399231,0.9417083263397216,0.1795917749404907,0.462197870016098,0.761796236038208,0.29959836602211,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p010_mixed_damage_opencv_telea_error_maps.png,Strongest mask-bbox LPIPS improvement,lpips_improvement
p014_loss_large,p014,p014_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p014_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p014_clean.png,p014_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p014_loss_large_mask.png,p014_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p014_loss_large_damaged.png,p014_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p014_loss_large_restored_opencv_telea.png,57683,17.2662,9.7797,ok,,Landscape on a River,Charles-François Daubigny,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436081,Public Domain / Open Access,p014.jpg,28079.44921875,1275.59912109375,26803.85009765625,162.16506958007812,22.84838485717773,139.3166847229004,3.646917760569937,17.07366149532067,13.426743734750737,0.5740740299224854,0.3507800996303558,0.2232939302921295,0.7785896062850952,0.7671440839767456,-0.0114455223083496,0.5308947563171387,0.2268775403499603,-0.3040172159671783,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p014_loss_large_opencv_telea_error_maps.png,Weakest DINOv2 feature improvement,dinov2_similarity_improvement
p014_mixed_damage,p014,p014_mixed_damage,mixed_damage,opencv_telea,cv2.INPAINT_TELEA,3,p014_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p014_clean.png,p014_mixed_damage_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p014_mixed_damage_mask.png,p014_mixed_damage_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p014_mixed_damage_damaged.png,p014_mixed_damage_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p014_mixed_damage_restored_opencv_telea.png,45810,13.7123,7.7667,ok,,Landscape on a River,Charles-François Daubigny,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436081,Public Domain / Open Access,p014.jpg,24712.95703125,491.1813659667969,24221.775665283203,150.3015594482422,12.33363914489746,137.96792030334473,4.201556468086173,21.218384783278367,17.016828315192193,0.4394245743751526,0.0670823156833648,0.3723422586917877,0.8052594661712646,0.965453803539276,0.1601943373680114,0.3331441879272461,0.8014734983444214,0.4683293104171753,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p014_mixed_damage_opencv_telea_error_maps.png,Strongest DINOv2 feature improvement,dinov2_similarity_improvement
p017_loss_large,p017,p017_loss_large,loss_large,opencv_telea,cv2.INPAINT_TELEA,3,p017_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p017_clean.png,p017_loss_large_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p017_loss_large_mask.png,p017_loss_large_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p017_loss_large_damaged.png,p017_loss_large_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p017_loss_large_restored_opencv_telea.png,45832,10.5437,7.7705,ok,,Picturesque Landscape,"Anonymous, British, 18th century",,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/364452,Public Domain / Open Access,p017.jpg,10403.873046875,1484.4287109375,8919.4443359375,93.99626922607422,29.74857521057129,64.24769401550293,7.958853167844865,16.415210152442896,8.456356984598031,0.3723841607570648,0.3394825458526611,0.0329016149044036,0.8738003969192505,0.842863917350769,-0.0309364795684814,0.7864407300949097,0.4994490146636963,-0.2869917154312134,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p017_loss_large_opencv_telea_error_maps.png,Weakest mask-bbox LPIPS improvement,lpips_improvement
p019_loss_small,p019,p019_loss_small,loss_small,opencv_telea,cv2.INPAINT_TELEA,3,p019_clean.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\clean\p019_clean.png,p019_loss_small_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\p019_loss_small_mask.png,p019_loss_small_damaged.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masked\p019_loss_small_damaged.png,p019_loss_small_restored_opencv_telea.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\restored\opencv_telea\p019_loss_small_restored_opencv_telea.png,15653,3.0285,2.6538,ok,,Evening: Landscape with an Aqueduct,Théodore Géricault,,landscape_natural,,,The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/436455,Public Domain / Open Access,p019.jpg,45095.50390625,211.9489288330078,44883.55497741699,210.0625,8.775144577026367,201.28735542297363,1.5894711668490782,24.86849134835524,23.27902018150616,0.1374032497406005,0.0096689583733677,0.1277342913672328,0.9093717336654664,0.9983211159706116,0.0889493823051452,0.9829432964324952,0.9982332587242126,0.0152899622917175,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\error_maps\opencv_telea\all_cases\all_opencv_cases\p019_loss_small_opencv_telea_error_maps.png,Strong category example by MSE improvement,mse_improvement
