top_level_folder,files,total_size_mb,max_file_size_mb
reports,3,403.5474328994751,192.95425987243652
selected_figures,18,69.15287494659424,6.047616004943848
docs,3,0.16257667541503906,0.07355499267578125
data,27,0.11433219909667969,0.06509590148925781
proposal_alignment.md,1,0.009240150451660156,0.009240150451660156
results_summary.md,1,0.007285118103027344,0.007285118103027344
methodology_summary.md,1,0.005095481872558594,0.005095481872558594
limitations_and_deviations.md,1,0.004843711853027344,0.004843711853027344
README_supervisor.md,1,0.0032405853271484375,0.0032405853271484375
supervisor_questions.md,1,0.00302886962890625,0.00302886962890625
next_steps.md,1,0.00250244140625,0.00250244140625
