original_case_id,case_id,painting_id,category,mask_type,title,final_visual_source,final_visual_reason,final_figure_path,overall_metric_vote,masked_std_mean,refined_overall_metric_vote,combined_uncertainty_index,mean_pairwise_lpips,mean_dinov2_uncertainty_distance,refined_stable_diffusion_metric_wins,uncertainty_performance_quadrant,final_figure_exists
p004_scratch_thin,p004_scratch_thin,p004,portrait_figure,scratch_thin,Madame Georges Charpentier and Her Children,refined_model_comparison,old_vs_refined_vote_changed,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p004_scratch_thin_opencv_lama_stable_diffusion_comparison.png,tie_lama_opencv_telea,,,,,,,,True
p040_loss_large,p040_loss_large,p040,abstraction_surrealism,loss_large,Houses at Murnau,refined_model_comparison,old_vs_refined_vote_changed; refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p040_loss_large_opencv_lama_stable_diffusion_comparison.png,opencv_telea,,,,,,,,True
p001_mixed_damage,p001_mixed_damage,p001,portrait_figure,mixed_damage,Juan de Pareja,refined_model_comparison,old_vs_refined_vote_changed; refined_metric_disagreement,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p001_mixed_damage_opencv_lama_stable_diffusion_comparison.png,tie_lama_opencv_telea,,,,,,,,True
p030_loss_large,p030_loss_large,p030,architecture_structured,loss_large,Interior with Five Women,refined_model_comparison,refined_category_mask_representative,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p030_loss_large_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p001_loss_large,p001_loss_large,p001,portrait_figure,loss_large,Juan de Pareja,refined_model_comparison,refined_category_mask_representative; refined_majority_vote_lama,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p001_loss_large_opencv_lama_stable_diffusion_comparison.png,lama,,,,,,,,True
p037_scratch_thin,p037_scratch_thin,p037,abstraction_surrealism,scratch_thin,In the Sea,refined_model_comparison,refined_category_mask_representative; refined_majority_vote_opencv_telea,D:\Masters\FH\Thesis\painting-restoration-eval\outputs\figures\model_comparison\opencv_lama_stable_diffusion\p037_scratch_thin_opencv_lama_stable_diffusion_comparison.png,opencv_telea,,,,,,,,True
p031_loss_large,p031_loss_large,p031,abstraction_surrealism,loss_large,Improvisation No. 30 (Cannons),stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p031_loss_large.png,,0.1087352633476257,,,,,,,True
p037_loss_small,p037_loss_small,p037,abstraction_surrealism,loss_small,In the Sea,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_loss_small.png,,0.0875755921006202,,,,,,,True
p037_mixed_damage,p037_mixed_damage,p037,abstraction_surrealism,mixed_damage,In the Sea,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_mixed_damage.png,,0.0873596742749214,,,,,,,True
p037_scratch_thin,p037_scratch_thin,p037,abstraction_surrealism,scratch_thin,In the Sea,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_scratch_thin.png,,0.0502385534346103,,,,,,,True
p026_loss_large,p026_loss_large,p026,architecture_structured,loss_large,View of a Village along a River,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_loss_large.png,,0.0834576189517974,,,,,,,True
p026_loss_small,p026_loss_small,p026,architecture_structured,loss_small,View of a Village along a River,stable_diffusion_uncertainty,category_mask_representative_highest,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p026_loss_small.png,,0.0496411360800266,,,,,,,True
p011_loss_large,p011_loss_large,p011,landscape_natural,loss_large,View of Haarlem and the Haarlemmer Meer,uncertainty_trustworthiness_quadrant,high_uncertainty_low_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p011_loss_large.png,,0.1499835401773452,lama,0.9834162335148644,0.447395771741867,0.6022597427169482,0.0,high_uncertainty_low_reference_performance,True
p009_loss_large,p009_loss_large,p009,portrait_figure,loss_large,Madame Roulin and Her Baby,uncertainty_trustworthiness_quadrant,high_uncertainty_high_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p009_loss_large.png,,0.1475362777709961,lama,0.719251401201778,0.3724637379248937,0.1542406578858693,2.0,high_uncertainty_high_reference_performance,True
p018_loss_large,p018_loss_large,p018,landscape_natural,loss_large,Classical Landscape with Figures,uncertainty_trustworthiness_quadrant,high_uncertainty_high_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p018_loss_large.png,,0.0884078592061996,lama,0.5287961206693911,0.2883592595656712,0.3888624260822932,1.0,high_uncertainty_high_reference_performance,True
p037_loss_large,p037_loss_large,p037,abstraction_surrealism,loss_large,In the Sea,uncertainty_trustworthiness_quadrant,high_uncertainty_high_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p037_loss_large.png,,0.0986279100179672,stable_diffusion_inpainting,0.4290620717541782,0.264517975350221,0.1314655443032582,4.0,high_uncertainty_high_reference_performance,True
p010_loss_large,p010_loss_large,p010,portrait_figure,loss_large,Joan of Arc,uncertainty_trustworthiness_quadrant,high_uncertainty_low_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p010_loss_large.png,,0.0672446563839912,tie_lama_opencv_telea,0.4258681795151037,0.3324731936057408,0.2801148891448974,0.0,high_uncertainty_low_reference_performance,True
p043_loss_large,p043_loss_large,p043,high_texture_brushwork,loss_large,The Card Players,uncertainty_trustworthiness_quadrant,high_uncertainty_high_reference_performance,outputs/figures/uncertainty/stable_diffusion_inpainting/uncertainty_grid_p043_loss_large.png,,0.0848045349121093,lama,0.4116464237619671,0.3016952176888783,0.134131650129954,2.0,high_uncertainty_high_reference_performance,True
