case_id,effect_mask_sha256_canonical,degraded_sha256_canonical,operator_parameters_json_canonical,case_seed_canonical,generator_name_canonical,generator_version_canonical,effect_mask_sha256_regenerated,degraded_sha256_regenerated,operator_parameters_json_regenerated,case_seed_regenerated,generator_name_regenerated,generator_version_regenerated,_merge,effect_mask_checksum_match,degraded_checksum_match,operator_parameters_match,case_seed_match,generator_name_match,generator_version_match,deterministic_match
p001__blur__mild,200977a2d6ca87fdf08128be1807eec31f735ce2cfe3494d006032bda1f3b225,1465b40735a91bc69e214db9df421f42e90a0d1e8efbd7967eee40738714a4a6,"[{""blur_radius"": 1.5, ""degradation_type"": ""blur"", ""effect_opacity"": 0.55, ""operator_seed"": 272285644, ""seed"": 9695596}]",634860667,synthetic_degradation,1.0.0,200977a2d6ca87fdf08128be1807eec31f735ce2cfe3494d006032bda1f3b225,1465b40735a91bc69e214db9df421f42e90a0d1e8efbd7967eee40738714a4a6,"[{""blur_radius"": 1.5, ""degradation_type"": ""blur"", ""effect_opacity"": 0.55, ""operator_seed"": 272285644, ""seed"": 9695596}]",634860667,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__blur__moderate,610e7ea09257b0fa515cf1861d145e1277c35236a090ce6d6dfcd73e49eecc7f,081f98323be4860786e3f9cf939dc1b9307244593dc0034c39b62394c9c65604,"[{""blur_radius"": 3.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.75, ""operator_seed"": 2214173340, ""seed"": 1834576790}]",2702907268,synthetic_degradation,1.0.0,610e7ea09257b0fa515cf1861d145e1277c35236a090ce6d6dfcd73e49eecc7f,081f98323be4860786e3f9cf939dc1b9307244593dc0034c39b62394c9c65604,"[{""blur_radius"": 3.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.75, ""operator_seed"": 2214173340, ""seed"": 1834576790}]",2702907268,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__blur__severe,4e7230a1e595626ec593b276e00bcabea997f58432c5442e5403f470d649adba,356bfa77c3fa186adad8df2dfb3e335586f8581b114dc0f9059f90a893ba39d6,"[{""blur_radius"": 5.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.95, ""operator_seed"": 3144373275, ""seed"": 2201620856}]",967575673,synthetic_degradation,1.0.0,4e7230a1e595626ec593b276e00bcabea997f58432c5442e5403f470d649adba,356bfa77c3fa186adad8df2dfb3e335586f8581b114dc0f9059f90a893ba39d6,"[{""blur_radius"": 5.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.95, ""operator_seed"": 3144373275, ""seed"": 2201620856}]",967575673,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__blur_fading__moderate,2b26208959d1d939fa3fb55d17649825504cd5d962512dc7b27d8d1365cec23e,826b1977393fc32d91f078384b94775247994dab15593ff716fc11831dc83ac8,"[{""blur_radius"": 3.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.75, ""operator_seed"": 2365731916, ""seed"": 829339353}, {""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 642045027, ""saturation_factor"": 0.62, ""seed"": 4106100702}]",3616891799,synthetic_degradation,1.0.0,2b26208959d1d939fa3fb55d17649825504cd5d962512dc7b27d8d1365cec23e,826b1977393fc32d91f078384b94775247994dab15593ff716fc11831dc83ac8,"[{""blur_radius"": 3.0, ""degradation_type"": ""blur"", ""effect_opacity"": 0.75, ""operator_seed"": 2365731916, ""seed"": 829339353}, {""brightness_factor"": 1.07, ""contrast_factor"": 0.86, ""degradation_type"": ""fading"", ""operator_seed"": 642045027, ""saturation_factor"": 0.62, ""seed"": 4106100702}]",3616891799,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__dirt_dust__mild,6fd012bc95081fa5c427940f614e3a9245cf30147b9b6bd17adbc0440e672c32,e418be28c4d4d728980758191e624629a7707b869c6bb7a7a508ba2df2984399,"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.05, ""operator_seed"": 3478032899, ""particle_count_estimate"": 10988, ""particle_density"": 0.0002, ""particle_opacity"": 0.24, ""particle_radius_max"": 3, ""particle_radius_min"": 1, ""seed"": 1539027106}]",1651694596,synthetic_degradation,1.0.0,6fd012bc95081fa5c427940f614e3a9245cf30147b9b6bd17adbc0440e672c32,e418be28c4d4d728980758191e624629a7707b869c6bb7a7a508ba2df2984399,"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.05, ""operator_seed"": 3478032899, ""particle_count_estimate"": 10988, ""particle_density"": 0.0002, ""particle_opacity"": 0.24, ""particle_radius_max"": 3, ""particle_radius_min"": 1, ""seed"": 1539027106}]",1651694596,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__dirt_dust__moderate,962740de5b3a6fe47d41b5c62cbd35dc8763d30194b7add49aa098d6a2b78ac8,49315b66b4a70e9eb938090212d2afd2ade52d041838fb03cbccab9034616d52,"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.1, ""operator_seed"": 175732196, ""particle_count_estimate"": 7071, ""particle_density"": 0.00045, ""particle_opacity"": 0.36, ""particle_radius_max"": 5, ""particle_radius_min"": 1, ""seed"": 4129386919}]",3596317806,synthetic_degradation,1.0.0,962740de5b3a6fe47d41b5c62cbd35dc8763d30194b7add49aa098d6a2b78ac8,49315b66b4a70e9eb938090212d2afd2ade52d041838fb03cbccab9034616d52,"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.1, ""operator_seed"": 175732196, ""particle_count_estimate"": 7071, ""particle_density"": 0.00045, ""particle_opacity"": 0.36, ""particle_radius_max"": 5, ""particle_radius_min"": 1, ""seed"": 4129386919}]",3596317806,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__dirt_dust__severe,3d34f45801fe3e0d93cd5fea13a9175faca0ac3fe1665f9e0051582fac39509b,b60241f2138e6b2331de5957a05452d1662028b7180aa27268e0276bdc52429e,"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.16, ""operator_seed"": 1575782543, ""particle_count_estimate"": 17391, ""particle_density"": 0.0008, ""particle_opacity"": 0.5, ""particle_radius_max"": 7, ""particle_radius_min"": 1, ""seed"": 3774832814}]",970403679,synthetic_degradation,1.0.0,3d34f45801fe3e0d93cd5fea13a9175faca0ac3fe1665f9e0051582fac39509b,b60241f2138e6b2331de5957a05452d1662028b7180aa27268e0276bdc52429e,"[{""degradation_type"": ""dirt_dust"", ""grime_strength"": 0.16, ""operator_seed"": 1575782543, ""particle_count_estimate"": 17391, ""particle_density"": 0.0008, ""particle_opacity"": 0.5, ""particle_radius_max"": 7, ""particle_radius_min"": 1, ""seed"": 3774832814}]",970403679,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__discolouration__mild,792e713da8c52073a95f23cc9ea2bf5d579e9f6f0761e517fa110a36c4f187d3,dc2b394307bd27801bce61ab526768e773d8e3b8bcd8f492e3173bf32fd54e71,"[{""channel_scale_b"": 0.94, ""channel_scale_g"": 0.99, ""channel_scale_r"": 1.04, ""degradation_type"": ""discolouration"", ""operator_seed"": 439050984, ""seed"": 3741239498}]",1684858599,synthetic_degradation,1.0.0,792e713da8c52073a95f23cc9ea2bf5d579e9f6f0761e517fa110a36c4f187d3,dc2b394307bd27801bce61ab526768e773d8e3b8bcd8f492e3173bf32fd54e71,"[{""channel_scale_b"": 0.94, ""channel_scale_g"": 0.99, ""channel_scale_r"": 1.04, ""degradation_type"": ""discolouration"", ""operator_seed"": 439050984, ""seed"": 3741239498}]",1684858599,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__discolouration__moderate,0002a9ae90fed2e54bb2ba0e10b0633c031df6b9a34f6d3c111bd7e038c29478,5ba7678f2f59980dd7a65571c5c7418fd3039cfe81431ed99fe3d2a75fab4d49,"[{""channel_scale_b"": 0.86, ""channel_scale_g"": 0.97, ""channel_scale_r"": 1.09, ""degradation_type"": ""discolouration"", ""operator_seed"": 147221102, ""seed"": 1984037041}]",947888569,synthetic_degradation,1.0.0,0002a9ae90fed2e54bb2ba0e10b0633c031df6b9a34f6d3c111bd7e038c29478,5ba7678f2f59980dd7a65571c5c7418fd3039cfe81431ed99fe3d2a75fab4d49,"[{""channel_scale_b"": 0.86, ""channel_scale_g"": 0.97, ""channel_scale_r"": 1.09, ""degradation_type"": ""discolouration"", ""operator_seed"": 147221102, ""seed"": 1984037041}]",947888569,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
p001__discolouration__severe,133f684f7939ba079c9529a62649d96d2819b9cb674a701061f8f662e1252a8e,9932f7b39082e64b40cc5532923bec4cca4c8857ae73f286e09b9dfd66d21bd9,"[{""channel_scale_b"": 0.76, ""channel_scale_g"": 0.94, ""channel_scale_r"": 1.15, ""degradation_type"": ""discolouration"", ""operator_seed"": 4238092628, ""seed"": 2435664154}]",163278166,synthetic_degradation,1.0.0,133f684f7939ba079c9529a62649d96d2819b9cb674a701061f8f662e1252a8e,9932f7b39082e64b40cc5532923bec4cca4c8857ae73f286e09b9dfd66d21bd9,"[{""channel_scale_b"": 0.76, ""channel_scale_g"": 0.94, ""channel_scale_r"": 1.15, ""degradation_type"": ""discolouration"", ""operator_seed"": 4238092628, ""seed"": 2435664154}]",163278166,synthetic_degradation,1.0.0,both,True,True,True,True,True,True,True
