record_type,case_id,effect_mask_path,degraded_path,effect_mask_exists,degraded_exists,effect_mask_readable,degraded_readable,effect_mask_dimensions_valid,degraded_dimensions_valid,effect_mask_mode_valid,degraded_mode_valid,unexpected_effect_mask,unexpected_degraded,inventory_passed,issue
expected_case,p001__blur__mild,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__blur__mild_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__blur__mild_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__blur__moderate,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__blur__moderate_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__blur__moderate_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__blur__severe,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__blur__severe_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__blur__severe_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__dirt_dust__mild,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__dirt_dust__mild_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__dirt_dust__mild_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__dirt_dust__moderate,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__dirt_dust__moderate_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__dirt_dust__moderate_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__dirt_dust__severe,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__dirt_dust__severe_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__dirt_dust__severe_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__discolouration__mild,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__discolouration__mild_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__discolouration__mild_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__discolouration__moderate,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__discolouration__moderate_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__discolouration__moderate_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__discolouration__severe,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__discolouration__severe_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__discolouration__severe_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__fading__mild,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__fading__mild_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__fading__mild_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__fading__moderate,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__fading__moderate_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__fading__moderate_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__fading__severe,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__fading__severe_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__fading__severe_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
expected_case,p001__partial_transparency__mild,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\masks\synthetic_degradation\p001__partial_transparency__mild_effect_mask.png,D:\Masters\FH\Thesis\painting-restoration-eval\data\processed\degraded\synthetic_degradation\p001__partial_transparency__mild_degraded.png,True,True,True,True,True,True,True,True,False,False,True,
