degradation_type,severity,case_count,painting_count,mean_effect_percentage_content,std_effect_percentage_content,mean_changed_pixels,mean_absolute_difference_effect
blur,mild,5,5,16.188615335672107,4.789581128827541,42759.2,0.6729628079374409
blur,moderate,5,5,44.04288896342753,6.528763171916309,158121.2,1.9211835676306936
blur,severe,5,5,76.64236786960485,4.328829391627219,315675.0,3.6498632470220342
dirt_dust,mild,5,5,15.925423290021765,7.583805379180197,1471.2,0.007921823192779325
dirt_dust,moderate,5,5,16.931932302484473,2.493692458102668,16547.2,0.12071573875807333
dirt_dust,severe,5,5,27.046855100529058,4.594925425521743,65199.2,0.40625357154704744
discolouration,mild,5,5,13.11309848919744,2.5868454163424532,45508.6,0.9942212011602336
discolouration,moderate,5,5,43.36860423527649,9.144147782875088,184962.0,2.5866925018354774
discolouration,severe,5,5,71.17375550451234,3.8109638875788283,316975.0,6.068887639868678
fading,mild,5,5,13.484732228750236,2.6030942638207506,43404.4,0.8228086512250987
fading,moderate,5,5,39.91048918980289,6.746033043637492,173739.4,3.087590283201215
fading,severe,5,5,73.94474538667285,6.652658070531371,338151.0,5.795202990959327
partial_transparency,mild,5,5,14.035317958224487,3.6179843592771106,63441.8,3.0148854543889296
partial_transparency,moderate,5,5,43.32510843133316,4.170084920227473,210627.4,7.258401720733443
partial_transparency,severe,5,5,70.73577692532717,9.889410759388056,343299.2,17.836602310761908
water_stain,mild,5,5,12.20810467631377,1.3282253110656341,57020.0,3.522934875154302
water_stain,moderate,5,5,19.73943303463896,3.926845076341086,94951.6,4.45826435855402
water_stain,severe,5,5,27.805020920906237,2.6435700500380848,136820.4,5.559350410436252
